tache;projet;artefact;artefact_version;version_tache;environnement;moteur;en_pause;planifiee;type_declenchement;cron;fuseau;derniere_exec;statut_derniere_exec;nb_exec_fenetre;nb_ok_fenetre;nb_ko_fenetre;duree_moy_s;fenetre_depuis;comptage_tronque;systemes;protocole;ressource;code_int;connexions
clean_repo_logs;IFS_Finance;clean_repo;0.1.6.20250210121024;13.4;PROD;REMOTE_ENGINE;NON;OUI;CRON;0 13 ? * 2-6 *;Europe/Paris;2026-08-14T11:00:02.651Z;EXECUTION_SUCCESS;26;26;0;36;2026-06-18;NON;INCONNU;INCONNU;INCONNU;INCONNU;
INT_213_main_PaieGRH_IFS_ODANALYTIQUE_OLD;IFS_Finance;INT_213_main_PaieGRH_IFS_ODANALYTIQUE;0.1.9.20250407020648;4.4;PROD;CLOUD;OUI;OUI;CRON;2/10 7-11,14-20 ? * 2-6 *;Europe/Paris;;jamais execute;0;0;0;INCONNU;INCONNU;NON;IFS (API REST) + Nibelis;REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Archives/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Export/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/PAIEGRH/Archives/";INT-213;Commun URL interfaces|Database_Connection|SFTP NIBELIS|all Commun var interfaces
INT_199_main_sage_signature;IFS_Finance;INT_199_main_sage_signature;0.1.2.20251104010447;2.2;PROD;REMOTE_ENGINE;NON;OUI;CRON;3/5 7-20 ? * 2-6 *;Europe/Paris;2026-08-17T09:53:00.724Z;EXECUTION_SUCCESS;600;598;2;6;2026-08-11;OUI;IFS (via blob GA);SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE";INT-199;Database_Connection|SFTP GA TLDIFS
INT_251_252_256_257_258_Infor_esker;IFS_Finance;INT_251_252_256_257_258_Infor_esker;0.1.1.20263103094602;3.3;PROD;REMOTE_ENGINE;NON;OUI;CRON;5/30 7-12,14-20 ? * 2-6 *;Europe/Paris;2026-08-17T09:35:01.869Z;EXECUTION_SUCCESS;600;593;7;12;2026-07-15;OUI;Esker + Infor Syteline (via blob GA) + PostgreSQL;BDD + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/ ; sftp-ne7.ondemand.esker.com:/ErpAck/ ; sftp-ne7.ondemand.esker.com:/In_MasterData/ ; sftp-ne7.ondemand.esker.com:/In_PaidInvoices/";INT-251;SFTP ESKER INFOR|SFTP GA TLDINFOR|Talend Monitoring
INT_187_188_main_esker_ifs_ecriture_comptable_lien_Lot4;IFS_Finance;INT_187_188_main_esker_ifs_ecriture_comptable_lien_Lot4;0.1.38.20261206123120;48.13;PROD;REMOTE_ENGINE;NON;OUI;CRON;8/5 8-21 ? * * *;Europe/Paris;2026-08-17T09:53:00.723Z;EXECUTION_SUCCESS;600;599;1;17;2026-08-12;OUI;Esker + IFS (API REST) + IFS (via blob GA) + Infor Syteline (via blob GA) + PostgreSQL;BDD + REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-187;Commun URL interfaces|INT_187_188|INT_232 Ack|SFTP GA TLDIFS|SFTP GA TLDINFOR|SFTP_ESKER_IFS|Talend Monitoring|all Commun var interfaces
clean_repo INT_185;IFS_Finance;clean_repo;0.1.6.20250210121024;3.3;PROD;CLOUD;OUI;OUI;CRON;30 13 ? * 2-6 *;Europe/Paris;2026-07-03T11:30:03.128Z;EXECUTION_SUCCESS;12;12;0;5;2026-06-18;NON;INCONNU;INCONNU;INCONNU;INT-185;
INT_209_main_nibelis_ifs_odpaie_old;IFS_Finance;INT_209_main_nibelis_ifs_odpaie;0.1.8.20252904084056;1.1;PROD;CLOUD;OUI;OUI;CRON;3/5 7-11,14-20 ? * 2-6 *;Europe/Paris;;jamais execute;0;0;0;INCONNU;INCONNU;NON;IFS (API REST) + Nibelis;REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Archives/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Export/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/PAIEGRH/Archives/";INT-209;Commun URL interfaces|Database_Connection|SFTP NIBELIS|all Commun var interfaces
INT_233_main_ifs_esker_bnk;IFS_Finance;INT_233_main_ifs_esker_bnk;0.1.22.20262905123536;8.6;PROD;REMOTE_ENGINE;NON;OUI;CRON;6 7,10,14,18 ? * 2-6 *;Europe/Paris;2026-08-17T08:06:01.012Z;EXECUTION_SUCCESS;79;74;5;2818;2026-07-03;NON;Esker + IFS (API REST) + IFS (via blob GA) + PostgreSQL;BDD + REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; sftp-ne7.ondemand.esker.com:/In_MasterData/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/IFS/Import/BankDetails/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/IFS/Import/Fournisseur/";INT-233;Commun URL interfaces|PARAM_IFS_ESKER_BNK|SFTP GA TLDIFS|SFTP_ESKER_connexion_IFS_VENDORS|SFTP_TLDESKER|Talend Monitoring|all Commun var interfaces
INT_209_main_nibelis_ifs_odpaie;IFS_Finance;INT_209_main_nibelis_ifs_odpaie;0.1.16.20260608124612;17.5;PROD;REMOTE_ENGINE;NON;OUI;CRON;3/5 7-11,14-20 ? * 2-6 *;Europe/Paris;2026-08-17T09:53:00.724Z;EXECUTION_SUCCESS;600;599;1;10;2026-08-11;OUI;IFS (API REST) + Nibelis + PostgreSQL;BDD + REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Archives/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Export/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/PAIEGRH/Archives/";INT-209;Commun URL interfaces|Database_Connection|SFTP NIBELIS|Talend Monitoring|all Commun var interfaces
INT_187 _188 main_esker_ifs_ecriture_comptable_lien_old;IFS_Finance;main_esker_ifs_ecriture_comptable_lien;0.1.64.20250807015226;9.10;PROD;CLOUD;OUI;NON;appel par un autre job / manuel;;;;jamais execute;0;0;0;INCONNU;INCONNU;NON;Esker + IFS (API REST) + IFS (via blob GA) + Infor Syteline (via blob GA);REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-187;Commun URL interfaces|INT_187_188|INT_232 Ack|SFTP GA TLDIFS|SFTP GA TLDINFOR|SFTP_ESKER_IFS|all Commun var interfaces
